id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,yr_built
6414100192,538000.0,3,2.25,2570,7242,2.0,0,0,1951
3793500160,323000.0,3,2.5,1890,6560,2.0,0,0,2003
9212900260,468000.0,2,1.0,1160,6000,1.0,0,0,1942
6054650070,400000.0,3,1.75,1370,9680,1.0,0,0,1977
9297300055,650000.0,4,3.0,2950,5000,2.0,0,3,1979
6865200140,485000.0,4,1.0,1600,4300,1.5,0,0,1916
6300500875,385000.0,4,1.75,1620,4980,1.0,0,0,1947
2524049179,2000000.0,3,2.75,3050,44867,1.0,0,4,1968
8091400200,252700.0,2,1.5,1070,9643,1.0,0,0,1985
3814700200,329000.0,3,2.25,2450,6500,2.0,0,0,1985
1202000200,233000.0,3,2.0,1710,4697,1.5,0,0,1941
1873100390,719000.0,4,2.5,2570,7173,2.0,0,0,2005
461000390,687500.0,4,1.75,2330,5000,1.5,0,0,1929
7589200193,535000.0,3,1.0,1090,3000,1.5,0,0,1929
7955080270,322500.0,4,2.75,2060,6659,1.0,0,0,1981
9435300030,550000.0,4,1.0,1660,34848,1.0,0,0,1933
2768000400,640000.0,4,2.0,2360,6000,2.0,0,0,1904
2078500320,605000.0,4,2.5,2620,7553,2.0,0,0,1996
5547700270,625000.0,4,2.5,2570,5520,2.0,0,0,2000
7766200013,775000.0,4,2.25,4220,24186,1.0,0,0,1984
9270200160,685000.0,3,1.0,1570,2280,2.0,0,0,1922
8945200830,210490.0,3,1.0,990,8528,1.0,0,0,1966
7231300125,345000.0,5,2.5,3150,9134,1.0,0,0,1966
9478500640,292500.0,4,2.5,2250,4495,2.0,0,0,2008
7922800400,951000.0,5,3.25,3250,14342,2.0,0,4,1968
8079040320,430000.0,4,3.0,1850,9976,2.0,0,0,1991
5072410070,505000.0,3,1.75,2519,8690,2.0,0,0,1973
3253500160,317625.0,3,2.75,2770,3809,1.5,0,0,1925
3394100030,975000.0,4,2.5,2720,11049,2.0,0,0,1989
3717000160,287000.0,4,2.5,2240,4648,2.0,0,0,2005
1274500060,204000.0,3,1.0,1000,12070,1.0,0,0,1968
1802000060,1325000.0,5,2.25,3200,20158,1.0,0,0,1965
1525059190,1040000.0,5,3.25,4770,50094,1.0,0,0,1973
5416510140,360000.0,4,2.5,2380,5000,2.0,0,0,2005
4036801170,380000.0,4,1.75,1760,7300,1.0,0,0,1956
6300000287,410000.0,3,1.0,1410,5060,1.0,0,0,1956
1531000030,720000.0,4,2.5,3450,39683,2.0,0,0,2002
5104520400,390000.0,3,2.5,2350,5100,2.0,0,0,2003
7437100340,360000.0,4,2.5,1900,5889,2.0,0,0,1992
9418400240,355000.0,2,1.0,2020,6720,1.0,0,0,1948
4232902595,940000.0,3,1.5,2140,3600,2.0,0,0,1925
3342103156,461000.0,3,3.25,2770,6278,2.0,0,0,2006
1332700270,215000.0,2,2.25,1610,2040,2.0,0,0,1979
3869900162,335000.0,2,1.75,1030,1066,2.0,0,0,2006
5036300431,1099880.0,5,2.75,3520,6353,2.0,0,0,2001
6021501535,430000.0,3,1.5,1580,5000,1.0,0,0,1939
3422049190,247500.0,3,1.75,1960,15681,1.0,0,0,1967
1099611230,199000.0,4,1.5,1160,6400,1.0,0,0,1975
7338200240,437500.0,3,2.5,2320,36847,2.0,0,2,1992
5200100125,555000.0,3,2.0,1980,3478,1.5,0,0,1929
7214720075,699950.0,3,2.25,2190,107593,2.0,0,0,1983
6197800045,290000.0,3,1.0,1210,33919,1.0,0,0,1954
1328310370,375000.0,3,2.5,2340,10005,1.0,0,0,1978
3530510041,188500.0,2,1.75,1240,2493,1.0,0,0,1985
1853000400,680000.0,4,2.5,3140,28037,2.0,0,0,1991
3134100116,470000.0,5,1.75,2030,12342,2.0,0,0,1942
2525310310,272500.0,3,1.75,1540,12600,1.0,0,0,1980
6126500060,329950.0,3,1.75,2080,5969,1.0,0,2,1971
3626039325,740500.0,3,3.5,4380,6350,2.0,0,0,1900
3362400431,518500.0,3,3.5,1590,1102,3.0,0,0,2010
4060000240,205425.0,2,1.0,880,6780,1.0,0,0,1945
3454800060,171800.0,4,2.0,1570,9600,1.0,0,0,1950
3275860240,770000.0,3,2.25,2910,10204,2.0,0,0,1990
4389200955,1450000.0,4,2.75,2750,17789,1.5,0,0,1914
4058801670,445000.0,3,2.25,2100,8201,1.0,0,2,1967
8732020310,260000.0,4,2.25,2160,8811,1.0,0,0,1978
3668000070,212000.0,3,1.75,1060,7875,1.0,0,0,1986
9545240070,660500.0,4,2.25,2010,9603,1.0,0,0,1986
1243100136,784000.0,3,3.5,3950,111078,1.5,0,0,1989
2767602356,675000.0,4,3.5,2140,2278,3.0,0,0,2005
3655000070,220000.0,4,1.75,2020,7840,1.0,0,0,1968
3992700335,382500.0,2,1.0,1190,4440,1.0,0,0,1981
2767603505,519950.0,3,2.25,1170,1249,3.0,0,0,2014
4232901525,665000.0,2,1.0,1110,3200,1.0,0,0,1925
3224079105,430000.0,2,2.5,2420,60984,2.0,0,0,2007
8075400570,258000.0,5,2.0,2260,12500,1.0,0,0,1960
1324300398,560000.0,3,1.0,1110,5000,1.5,0,0,1947
537000445,282950.0,3,1.0,1250,8200,1.0,0,0,1954
8960000030,215000.0,3,1.0,1180,7669,1.0,0,0,1967
8731900200,320000.0,4,2.75,2640,7500,1.0,0,0,1967
8029200135,247000.0,3,2.0,1270,7198,1.5,0,0,1916
1081200350,320000.0,4,1.75,1760,11180,1.0,0,0,1968
7215720160,900000.0,3,2.5,3400,16603,2.0,0,0,2000
3574800520,441000.0,3,2.75,1910,7280,1.0,0,0,1979
3261020370,653000.0,3,2.5,2680,9750,1.0,0,0,1979
1755700060,371500.0,3,2.0,1370,8336,1.0,0,0,1964
9542800700,272000.0,3,1.75,2160,7140,1.0,0,0,1978
1999700045,313000.0,3,1.5,1340,7912,1.5,0,0,1955
1687900520,673000.0,4,2.25,2590,8190,2.0,0,0,1980
7234600798,425000.0,3,2.5,1120,1100,2.0,0,0,2008
3881900445,399950.0,5,2.75,1970,5400,1.0,0,0,1986
3830630310,260000.0,3,2.5,1670,5797,2.0,0,0,1988
3127200041,589000.0,4,3.0,2440,9600,2.0,0,0,1961
825059270,1095000.0,5,3.0,4090,12850,1.0,0,2,1986
1954440060,560000.0,3,2.5,1900,8744,2.0,0,0,1987
2264500350,615000.0,4,1.0,1330,2400,1.5,0,0,1901
1115810060,585188.0,3,2.25,2230,10026,1.0,0,0,1975
2287000060,799000.0,3,2.5,2140,9897,1.0,0,0,1959
3663500060,400000.0,3,2.5,2180,7508,1.0,0,0,1962
3996900125,230000.0,3,1.0,1060,10228,1.0,0,0,1948
7796450200,256883.0,3,2.5,1690,5025,2.0,0,0,2003
2824079053,440000.0,3,2.5,1910,66211,2.0,0,0,1997
1222069094,385000.0,3,1.75,1350,155073,1.0,0,0,1969
3542300060,210000.0,3,1.0,860,11725,1.0,0,0,1943
2222059065,297000.0,3,2.5,1940,14952,2.0,0,0,1994
7551300060,470000.0,3,1.0,1010,5000,1.0,0,0,1952
100600550,226500.0,3,1.5,1300,7370,1.0,0,0,1976
9526600140,677900.0,3,2.5,2440,4587,2.0,0,0,2010
7465900060,425000.0,3,1.0,1010,5864,1.0,0,0,1915
1222000055,180250.0,2,0.75,900,9600,1.0,0,0,1941
6300000550,464000.0,6,3.0,2300,3404,2.0,0,0,1920
1025049114,625504.0,3,2.25,1270,1566,2.0,0,0,2014
257000138,280000.0,2,1.0,850,16400,1.0,0,0,1923
1909600046,445838.0,3,2.5,2250,5692,2.0,0,0,2000
1250202145,1072000.0,2,2.25,3900,14864,1.0,0,3,1947
1922059282,325000.0,3,2.25,2220,16020,1.0,0,0,1966
7454001200,390000.0,3,2.25,1250,7500,1.0,0,0,1942
8682281200,479950.0,2,2.0,1510,6516,1.0,0,0,2005
7972000200,264950.0,4,2.25,1720,9753,1.0,0,0,1978
722059070,235000.0,3,1.0,1430,15246,1.0,0,0,1961
7202340400,516500.0,3,2.5,1480,4729,2.0,0,0,2004
2424000060,500000.0,4,2.75,2280,15347,1.0,0,0,1960
9264902050,315000.0,6,2.75,2940,7350,1.0,0,0,1978
1762600320,1025000.0,5,4.0,3760,28040,2.0,0,0,1983
7228500560,410000.0,4,1.0,1970,4740,1.5,0,0,1904
5152100060,472000.0,6,2.5,4410,14034,1.0,0,2,1965
8150100045,210000.0,2,1.0,830,6000,1.0,0,0,1940
1868901275,455000.0,2,1.0,1430,5000,1.5,0,0,1925
9468200125,480000.0,2,1.0,1030,3060,1.0,0,2,1918
8029510030,363000.0,3,2.5,2740,11872,2.0,0,0,1990
3021059276,250000.0,4,2.0,2010,7312,1.0,0,0,1976
3797001895,481000.0,3,1.75,1560,3000,1.0,0,0,1918
1310430400,455000.0,4,2.5,3360,7685,2.0,0,0,2001
1105000588,349500.0,3,1.0,1400,3538,1.0,0,0,1953
3830630060,245000.0,3,2.5,1730,7442,2.0,0,0,1987
5101404898,592500.0,2,2.0,1420,9191,1.5,0,2,1928
7972601890,385000.0,4,1.75,2360,7620,1.0,0,0,1955
5127001620,315000.0,3,1.75,1580,11455,1.0,0,0,1974
1873100060,693000.0,4,2.5,2460,4425,2.0,0,0,2006
8722101360,780000.0,3,1.0,1660,4400,1.5,0,0,1911
8644000060,237000.0,3,1.75,1270,8470,1.0,0,0,1960
3325069129,525000.0,3,2.25,2100,40510,2.0,0,0,1979
1400300055,425000.0,2,1.0,770,5040,1.0,0,0,1930
2123039032,369900.0,1,0.75,760,10079,1.0,1,4,1936
3438500192,285000.0,3,1.0,1120,10701,1.0,0,0,1954
1745100140,210000.0,3,1.0,1700,11390,1.0,0,0,1967
4235400186,331000.0,3,1.75,1080,1306,1.0,0,0,1954
4215100060,365000.0,3,2.5,2653,4510,2.0,0,0,2006
9412900055,405000.0,3,1.75,2390,6000,1.0,0,0,1908
1722059235,304900.0,4,1.75,2600,11325,1.0,0,0,1969
6874200960,170000.0,2,1.0,860,5265,1.0,0,0,1931
7424700045,2050000.0,5,3.0,3830,8480,2.0,0,1,1905
1509500060,370000.0,4,2.5,2720,8666,2.0,0,0,1992
7214810350,467000.0,5,2.25,2500,13500,1.0,0,0,1979
6647200060,405000.0,3,1.75,1670,6720,1.0,0,0,1980
9552700140,675000.0,5,2.25,2900,10300,1.0,0,0,1985
2200500350,500000.0,2,1.0,1640,14100,1.0,0,0,1954
6113400046,389999.0,4,2.5,1890,15770,2.0,0,0,1968
6619910140,630000.0,4,1.75,2950,9025,1.0,0,2,1975
1115450240,360000.0,4,2.5,2160,9528,2.0,0,0,1992
600000152,404000.0,3,1.5,2030,8880,1.0,0,0,1963
3225069065,3075000.0,4,5.0,4550,18641,1.0,1,4,2002
3260800030,335000.0,3,2.5,2440,7632,2.0,0,0,1998
2747100024,576000.0,3,2.5,1940,9000,1.0,0,0,1948
5104530560,208633.0,3,2.5,2040,3810,2.0,0,0,2006
7171200445,550700.0,2,1.0,1010,5000,1.5,0,0,1908
3416600800,834000.0,4,2.5,2370,4000,1.5,0,2,1928
7994700030,201000.0,5,1.75,1660,78408,1.5,0,0,1915
7771300125,487000.0,3,2.0,2590,14052,1.0,0,0,1948
4337000335,268750.0,4,1.0,800,8775,1.0,0,0,1943
2597650240,520000.0,3,2.25,2030,16200,2.0,0,0,1984
7520000520,232000.0,2,1.0,1240,12092,1.0,0,0,1922
1959700550,740000.0,4,2.0,2050,4400,1.5,0,0,1922
1665400045,186375.0,3,1.0,1000,7636,1.0,0,0,1952
9542850320,790000.0,3,2.25,2370,10289,1.0,0,0,1977
2946001550,279000.0,6,1.75,2240,11180,2.0,0,0,1955
9550201550,640000.0,2,1.0,1070,5000,1.0,0,0,1924
191100045,940000.0,4,2.0,2490,9525,2.0,0,0,1968
2877103726,791500.0,4,2.0,1510,3500,1.5,0,0,1911
405100295,265000.0,3,1.75,1420,8250,1.0,0,0,1954
4268200055,245000.0,3,1.75,1740,11547,1.0,0,0,1954
3126069068,485000.0,4,1.75,2560,43995,2.0,0,0,1962
1115300070,684000.0,4,3.5,3040,8414,2.0,0,0,2010
6414100671,425000.0,3,1.75,2500,6840,1.0,0,0,1957
7004200060,309600.0,4,1.75,1275,20000,1.0,0,0,1991
3969300030,165000.0,4,1.0,1000,7134,1.0,0,0,1943
3969300030,239900.0,4,1.0,1000,7134,1.0,0,0,1943
4048400070,320000.0,2,1.0,1070,32633,1.0,0,0,1930
808000070,206600.0,3,2.0,1390,13464,1.0,0,0,1987
7325600160,299000.0,1,0.75,560,12120,1.0,0,0,1967
2757000030,855000.0,4,2.75,2270,10460,2.0,0,0,1965
9262800171,252000.0,4,1.5,1550,19800,1.0,0,0,1969
5416510830,300000.0,4,2.5,1910,4862,2.0,0,0,2005
325059171,900000.0,3,1.0,1330,77972,1.0,0,0,1928
952003285,679900.0,3,2.5,2440,5750,2.0,0,2,2000
8856950070,329500.0,4,2.5,1820,7912,2.0,0,0,1994
925059078,604950.0,3,2.5,2110,5608,1.0,0,0,2013
7855801090,795000.0,5,2.5,3040,9570,1.0,0,2,1966
723099065,465000.0,3,2.0,1840,40438,2.0,0,0,1994
6116500075,673000.0,4,2.5,2990,10400,2.0,0,0,2002
1118500030,810000.0,4,2.5,3520,15420,2.0,0,0,1991
424069250,785000.0,4,2.75,2440,69415,1.0,0,0,1989
7683900200,380000.0,5,3.0,3450,9914,2.0,0,0,2004
9423400140,450000.0,3,1.75,1640,13500,1.0,0,0,1940
1545804860,275000.0,3,3.0,1590,7750,1.0,0,0,1997
2883200160,595000.0,4,2.0,2020,2849,2.0,0,0,1960
624111000,950000.0,3,3.0,4040,14338,2.0,0,0,1986
808300310,389000.0,4,2.25,2130,5337,2.0,0,0,2001
9517200030,365500.0,3,2.0,1410,9600,1.0,0,0,1983
2890100060,385000.0,4,1.5,2040,10726,1.0,0,0,1954
8857320070,490000.0,3,2.75,1980,3128,2.0,0,0,1979
1923000030,1118000.0,4,2.5,3840,16619,2.0,0,1,1983
3649100320,330000.0,2,1.0,1220,10000,1.0,0,0,1950
5175800060,365000.0,4,2.0,1940,25600,1.0,0,0,1962
1604601375,378750.0,3,2.5,2160,3000,1.5,0,0,1909
2473251090,269900.0,4,1.75,1530,8750,1.5,0,0,1968
9126100861,557000.0,3,3.5,1710,2096,2.0,0,0,2008
3420069065,360000.0,4,1.75,3730,16980,1.0,0,0,1974
1151100070,437000.0,3,2.5,1750,22357,2.0,0,0,1994
9385200055,650000.0,3,3.25,1510,2000,2.0,0,0,2001
2422029094,517534.0,2,1.0,833,143947,1.0,0,0,2006
1774220160,632925.0,3,2.5,2990,32239,2.0,0,0,1978
1525200060,577500.0,3,2.5,2000,7251,2.0,0,0,1995
1678400105,339000.0,4,1.5,2390,7480,1.5,0,2,1920
824079032,563500.0,4,1.75,2085,174240,1.0,0,0,1964
8724300030,355000.0,3,2.25,1860,5028,2.0,0,0,2012
8678500060,1550000.0,5,4.25,6070,171626,2.0,0,0,1999
9808650060,1300000.0,3,2.0,2350,15021,1.0,0,0,1976
305500140,365000.0,3,2.5,2200,4052,2.0,0,0,2005
8564950390,525000.0,4,2.5,2450,5280,2.0,0,0,2003
7504101040,722500.0,5,2.5,4870,11800,2.0,0,0,1983
