id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,yr_built
5631500400,2,1.0,770,10000,1.0,0,0,1933
7983200060,3,1.0,1250,9774,1.0,0,0,1969
9547205180,3,2.5,2300,3060,1.5,0,0,1930
1432701230,3,1.0,1280,9656,1.0,0,0,1959
9822700295,4,2.5,2830,5000,2.0,0,0,1995
2799800710,3,2.5,2420,4750,2.0,0,0,2003
1516000055,3,2.25,2150,21235,1.0,0,3,1959
2791500270,4,2.5,1980,7403,2.0,0,0,1988
4168000060,3,1.0,1200,10500,1.0,0,0,1962
1695900060,4,1.0,1610,2982,1.5,0,0,1925
7278700070,3,2.5,2400,6474,1.0,0,2,1964
6071600370,4,2.25,2030,8517,1.0,0,0,1961
3756500060,3,1.75,1780,9660,1.0,0,0,1962
6661200320,2,1.5,1050,3419,2.0,0,0,1996
3278600320,3,2.5,2150,4084,2.0,0,0,2007
46100204,5,3.0,3300,33474,1.0,0,3,1957
943100260,2,1.0,1000,10200,1.0,0,0,1961
6131600075,3,1.0,1300,8316,1.0,0,0,1954
3832710960,3,2.0,1810,7209,1.0,0,0,1978
4054500390,4,4.75,5310,57346,2.0,0,0,1989
6378500125,2,1.0,1040,7538,1.0,0,0,1939
5634500392,3,3.0,2420,13959,1.0,0,0,1988
8079030390,3,2.5,2650,7286,2.0,0,0,1990
3204800200,4,2.75,3320,10574,2.0,0,0,1960
1860600135,5,2.5,3650,9050,2.0,0,4,1921
325059286,5,2.75,3150,7119,2.0,0,0,2013
3353400435,3,2.0,1450,11204,1.0,0,0,2003
7520000520,2,1.0,1240,12092,1.0,0,0,1922
3291800710,4,3.0,2090,7500,1.0,0,0,1986
2460700700,3,2.0,1650,7352,1.0,0,0,1979
2697100140,4,2.25,2200,9351,1.0,0,0,1962
936000060,5,1.75,2190,27260,1.0,0,0,1947
8159610030,3,2.25,2070,11576,2.0,0,0,1974
8658300340,1,0.75,430,5050,1.0,0,0,1912
3629920030,4,2.25,1890,3006,2.0,0,0,2003
66000070,2,1.0,630,6550,1.0,0,0,1918
2625069070,4,3.25,4860,181319,2.5,0,0,1993
5423010350,5,2.5,3400,9500,2.0,0,1,1977
7852170140,4,2.5,3180,5438,2.0,0,0,2003
1245002952,4,2.5,2770,7800,2.0,0,0,1999
9238901420,3,1.0,1190,5100,1.0,0,0,1941
5126310400,4,2.5,2600,7787,2.0,0,0,2005
4402700070,2,1.0,1100,7680,1.0,0,0,1950
5694500105,2,2.0,1510,4000,1.0,0,0,1900
5466410030,3,2.0,1360,6082,1.0,0,0,1994
224069094,3,2.25,2120,40518,1.0,0,0,1967
8718500075,3,1.5,1300,8280,1.0,0,0,1956
8648100200,4,2.5,2050,10271,2.0,0,0,1998
3624079046,4,3.0,2230,108900,1.0,0,0,1978
2725069050,4,2.5,4120,22370,2.0,0,0,1997
5104510270,4,2.5,1830,5612,2.0,0,0,2003
192460060,3,1.75,1510,15744,1.0,0,0,1985
7504010570,3,2.5,3180,12600,2.0,0,0,1978
1442740140,3,2.25,2110,13300,2.0,0,0,1985
8018600765,3,1.75,1460,10584,1.0,0,0,1997
6600700030,3,2.25,1490,9414,2.0,0,0,1981
9500900135,3,1.5,1210,10588,1.0,0,0,1958
7812800565,3,1.0,960,6400,1.0,0,0,1944
5437820310,3,1.0,960,9633,1.0,0,0,1982
2218000335,3,1.75,1320,2500,1.0,0,0,1918
7214700350,4,1.75,2020,36400,1.0,0,0,1976
2324039036,3,2.0,2150,5400,1.5,0,0,1911
708000030,3,1.5,1250,8710,1.0,0,0,1953
6067910030,4,2.75,2510,11880,1.0,0,0,1978
9133600075,3,1.75,1830,11788,1.0,0,1,1958
1895000045,2,1.0,820,5100,1.0,0,0,1953
4022907770,4,1.75,2480,14782,1.0,0,3,1958
7967200060,3,1.75,1450,12125,1.0,0,0,1981
3832200070,4,1.75,1710,7140,1.0,0,0,1968
8820903380,6,2.25,2660,13579,2.0,0,0,1937
1932300075,2,1.0,1050,5900,1.0,0,0,1950
826069046,3,2.0,2100,72745,1.0,0,0,1995
293720140,3,2.5,2170,4912,2.0,0,0,2003
579003610,3,1.5,1430,5200,1.0,0,3,1940
826079094,3,2.0,1400,218252,1.0,0,0,1997
2972300060,3,2.75,2390,7939,1.0,0,0,1983
3575200070,3,2.25,2060,31400,2.0,0,0,1984
4040800810,3,2.25,2000,8030,1.0,0,0,1963
2612000390,3,2.5,1890,4838,2.0,0,0,2002
3814400125,4,2.0,1910,2874,1.0,0,0,1910
7230200340,3,1.0,1250,23680,1.0,0,0,1967
205000520,4,2.5,3200,36276,2.0,0,0,1993
259600260,3,1.0,1250,7210,1.0,0,0,1964
1922059135,2,2.0,1130,5500,1.0,0,0,1941
4006000251,3,1.0,970,5000,1.0,0,0,1968
1610000016,4,1.0,1300,6030,1.5,0,0,1947
8682262400,2,1.75,1350,4003,1.0,0,0,2004
9429500045,3,1.0,1620,30736,1.5,0,0,1911
1081300200,3,2.25,1640,11050,1.0,0,0,1972
4164100160,4,1.75,2390,23899,1.0,0,0,1949
4136890260,5,2.75,2400,8050,2.0,0,0,1998
1250700060,3,1.75,1830,4160,1.0,0,0,1919
5101405335,3,1.5,1260,9570,1.0,0,0,1941
9465910070,3,2.5,1940,10035,2.0,0,0,1994
2465400036,4,2.5,2780,10480,1.0,0,3,1967
8730000270,2,2.75,1370,1140,2.0,0,0,2009
7937600830,4,3.0,2570,262018,1.0,0,0,1988
8663280160,5,2.5,2520,7863,1.0,0,0,1981
8594400370,3,2.25,1560,35026,1.0,0,0,1985
3812400070,5,1.0,1410,6750,1.5,0,0,1929
6203000160,3,1.0,1490,10650,1.0,0,0,1963
5489200435,4,3.0,2670,5000,2.0,0,2,1916
7555210340,4,2.25,2360,8616,2.0,0,0,1974
1778350070,4,2.75,2790,10819,2.0,0,0,1996
5469700570,5,2.5,2970,24759,1.0,0,0,1969
8899200570,3,2.25,1900,7800,1.0,0,0,1977
3226049270,4,2.5,2160,8158,1.0,0,0,1952
342000570,2,1.0,1080,3600,1.0,0,0,1922
5476200160,3,1.0,1250,5411,1.0,0,0,1980
7199320570,4,2.25,1870,7700,2.0,0,0,1977
6414100560,3,1.75,1700,8432,1.0,0,0,1977
8682231170,2,2.0,1920,6045,1.0,0,0,2003
3353400860,3,1.75,2080,12522,1.0,0,0,1950
2021201000,4,3.0,3680,5854,1.0,0,3,1967
9421500070,4,2.25,1910,8005,1.0,0,0,1960
3340401535,1,1.0,730,6890,1.0,0,0,1926
524069037,2,1.0,1240,57000,1.0,0,0,1962
6114600030,4,3.0,2690,28300,1.0,0,0,1954
7237500390,5,4.5,6070,14731,2.0,0,0,2004
1788700160,3,1.0,1260,8378,1.0,0,0,1959
4137010260,3,2.25,2200,8375,2.0,0,0,1988
3343900326,4,3.5,3710,10400,2.0,0,0,2002
8062900070,5,1.5,2550,6300,1.0,0,0,1959
7137960030,3,2.5,1830,6162,2.0,0,0,1994
7533800295,4,3.25,3460,7749,2.0,0,1,1950
3523029041,2,0.75,440,8313,1.0,1,3,1943
3110800260,4,2.0,2440,9600,1.0,0,0,1963
7852030240,4,2.5,2320,3974,2.0,0,0,1999
1842900030,3,1.5,1200,11935,1.0,0,0,1968
8691300060,4,2.5,3690,13609,2.0,0,2,1996
8682281170,2,1.75,1510,6852,1.0,0,0,2005
1926049355,5,2.0,2620,7030,1.0,0,0,1965
2798600240,4,2.5,1720,5805,2.0,0,0,2000
5729200030,4,2.25,2350,18600,2.0,0,0,1977
8682220390,2,2.5,2630,7957,2.0,0,0,2003
2026049155,3,1.75,1680,8648,1.0,0,0,1963
7298040310,5,2.5,3840,16905,2.0,0,0,1991
273900030,3,1.5,1600,9072,1.0,0,0,1963
2723069082,4,2.25,2510,133729,2.0,0,0,1977
7436500270,5,2.25,2100,6936,1.0,0,0,1974
4022900125,4,2.5,2430,11870,1.0,0,0,1968
3630180340,4,2.5,3370,5000,2.0,0,0,2006
1939130070,4,2.5,2820,8307,2.0,0,0,1990
1453600202,4,3.5,2680,10000,2.0,0,0,1942
5469300270,3,1.75,1490,8366,1.0,0,0,1975
5100401414,2,1.0,880,6380,1.0,0,0,1938
4473400045,3,2.0,2040,5600,1.0,0,1,1954
6880200030,3,1.75,1860,7881,1.0,0,0,1986
3630120700,3,3.25,3190,5283,2.0,0,0,2007
952003435,2,1.0,820,4025,1.0,0,2,1922
6204200340,3,1.75,1730,18250,1.0,0,0,1988
6202600070,5,2.5,3890,27311,2.0,0,2,1950
8581200030,4,2.0,1220,9100,1.5,0,0,1970
4279200060,4,2.5,2110,9825,2.0,0,0,2000
7214810550,4,2.25,2270,12000,1.0,0,0,1979
8019200030,3,1.5,1500,14750,1.5,0,0,1933
1250203335,4,2.5,2920,7200,1.0,0,3,1921
1531000140,4,2.5,3350,46748,2.0,0,0,2004
3832310350,3,1.75,1100,7224,1.0,0,0,1981
6127011000,4,2.5,2550,4630,2.0,0,0,2005
1223089083,3,2.75,3010,206910,2.0,0,2,2001
5469501940,3,1.75,2190,12626,2.0,0,0,1978
3649100473,3,1.5,1300,12240,1.0,0,0,1963
9521100960,4,1.5,2820,4000,2.0,0,0,1911
9542000075,3,1.75,2000,14733,1.0,0,0,1958
4022902505,3,2.25,2220,9800,2.0,0,0,1987
1545803240,3,2.25,1520,7930,1.0,0,0,1988
8581200350,3,1.5,1180,7000,1.0,0,0,1977
2822069078,4,2.0,2500,36900,1.0,0,0,1972
5021900140,5,4.25,4830,11466,2.0,0,0,2014
7214800240,4,2.25,2510,9800,2.0,0,0,1978
2787720140,3,2.5,1790,11542,1.0,0,0,1969
3295610350,5,2.75,3430,15119,2.0,0,0,1998
2944500710,4,2.5,2430,9103,2.0,0,0,1990
7805460030,3,2.5,2250,10171,2.0,0,0,1987
8079100370,3,2.0,2060,7000,1.0,0,0,1988
5634500251,3,1.0,1160,36831,1.0,0,0,1938
8643200055,3,1.75,1790,12000,1.0,0,0,1960
4083306175,3,1.75,1080,3200,1.0,0,0,1926
5104510240,4,2.5,1830,8601,2.0,0,0,2003
6918700320,5,2.5,1900,7843,2.0,0,0,1966
2143700830,4,2.5,2100,19680,1.5,0,0,1914
98030140,4,4.0,3280,8448,2.0,0,0,2007
6151800135,4,1.75,2020,16120,1.0,0,0,1969
1545807990,3,1.75,1890,10661,1.0,0,0,1978
3904921070,4,2.5,2340,8971,2.0,0,0,1987
2968800626,4,2.0,1770,8890,1.0,0,0,1949
1426049083,3,2.5,2760,11287,2.0,0,3,1991
2472930270,3,2.5,3110,9015,2.0,0,0,1990
3626500045,3,2.5,1980,13964,1.0,0,0,1959
6699940140,4,2.5,2470,5015,2.0,0,0,2004
1823049171,5,1.5,1950,9000,1.0,0,0,1964
8730000260,2,2.75,1370,1140,2.0,0,0,2009
5315100806,4,3.0,2720,11740,1.0,0,0,1957
8651430370,3,1.0,1240,5200,1.0,0,0,1969
461003251,3,2.25,1130,1221,2.0,0,0,2004
2525300550,3,1.0,1200,9936,1.0,0,0,1969
2618300350,3,1.0,1390,12145,1.0,0,0,1964
6402300070,4,2.5,2390,10000,1.0,0,0,1975
2175100270,3,1.75,2640,8000,1.0,0,3,1960
2568300132,3,2.0,1870,5455,1.0,0,0,1926
6414100111,2,1.0,990,9223,1.0,0,0,1949
4379600030,3,3.75,6400,76665,1.0,0,2,1966
2113701200,2,1.0,670,4640,1.0,0,0,1943
4219400520,4,2.25,3040,5000,2.0,0,3,1926
3354400060,2,1.0,1088,8453,1.0,0,0,1952
1355200060,4,2.5,3300,10764,1.0,0,0,1971
6619510060,4,3.0,2030,12675,2.0,0,0,1982
6632900340,4,2.0,1850,8827,1.0,0,0,1969
8644400060,3,2.5,2320,57063,1.0,0,0,1979
3815500045,3,2.25,1880,12473,1.0,0,0,1958
3905000200,4,2.5,2260,7753,2.0,0,0,1989
7137900960,4,2.0,1570,9415,2.0,0,0,1984
5104531820,4,2.5,2910,7631,2.0,0,2,2006
8880600070,4,2.0,1870,8750,1.0,0,2,1977
4140090370,4,2.5,3060,7920,1.0,0,0,1974
6893300295,4,1.75,2430,13211,1.5,0,0,1909
2333230270,4,2.5,1990,3980,2.0,0,0,2002
7229700105,2,2.0,1510,20685,1.0,0,0,1958
4443800810,3,1.75,1250,3880,1.0,0,0,1944
1088000030,4,2.25,1990,8548,2.0,0,0,1973
1383500070,4,2.5,2303,16801,2.0,0,0,1995
6728700075,4,1.75,1280,6060,1.0,0,0,1926
6300000693,2,2.25,850,1656,2.0,0,0,2001
6413100270,3,1.75,1540,9000,1.0,0,0,1971
824059277,3,3.5,2600,11920,2.0,0,0,1969
1163100070,4,2.5,1960,8540,1.0,0,0,1955
1137300340,4,2.5,2780,35000,1.0,0,0,1985
1300301840,4,2.25,2570,9600,2.5,0,0,1962
8562900520,5,3.5,3690,11928,2.0,0,0,2006
4027701182,3,1.0,1320,11457,1.0,0,0,1959
7796600070,3,1.5,1190,8726,1.0,0,0,1956
3629910370,3,2.5,2190,3600,2.0,0,0,2003
765000060,4,2.0,1570,11200,1.0,0,0,1959
3126049094,4,2.0,2195,2681,1.0,0,0,1912
3630120960,3,3.25,3230,5000,2.0,0,0,2006
3622059155,4,2.5,1810,39639,1.0,0,0,1970
7277100640,3,2.5,3050,6000,1.0,0,3,1984
5152920070,3,2.5,3410,13809,1.0,0,3,1973
6071700160,6,2.75,2660,8400,1.0,0,0,1962
1626079012,3,1.75,1720,223377,1.0,0,0,1950
2954400520,4,3.25,5180,49936,2.0,0,0,1991
1121059105,3,2.5,2860,43821,2.0,0,0,1990
8078460810,4,2.5,2580,7465,2.0,0,0,1993
6791400320,3,1.75,1530,14087,1.0,0,0,1979
8732000390,3,1.5,1270,11600,1.0,0,0,1964
3176600055,3,1.75,1480,7475,1.5,0,0,1943
825059271,3,2.75,2980,12600,1.5,0,0,1941
823069074,4,2.5,2660,65340,2.0,0,0,1988
5146000070,3,2.25,1750,12408,1.0,0,0,1962
9274200316,3,2.5,1680,934,3.0,0,0,2008
8079100700,4,2.5,2240,7350,2.0,0,0,1989
7227501369,4,2.5,1960,7133,2.0,0,0,2002
7555220140,4,2.75,2240,8937,1.0,0,0,1976
4038600260,4,2.25,2380,16236,1.0,0,0,1961
9371700132,3,1.75,1390,9585,1.0,0,0,1973
6384500581,3,1.75,2040,6000,1.0,0,0,1958
9315100030,3,1.0,1090,8520,1.0,0,0,1967
9222400935,3,1.0,1280,2580,1.5,0,0,1910
2591760070,3,2.5,2190,4882,2.0,0,0,1999
826069085,3,2.25,2080,50965,1.0,0,0,1979
148000705,4,3.5,3070,4440,2.0,0,0,1922
324059112,4,2.75,2060,21344,1.0,0,0,1978
3222079162,3,2.0,1760,43575,1.0,0,0,1988
8121610110,3,1.75,1720,37363,1.0,0,0,1974
9406450090,4,2.25,2360,6260,2.0,0,0,1998
2619950490,3,2.25,1530,4580,2.0,0,0,2011
5029450850,3,1.75,1420,6980,1.0,0,0,1980
9285800735,2,1.0,1070,6100,1.0,0,0,1940
1455600015,3,3.5,2350,10739,1.0,0,2,1940
9528101224,3,3.5,1420,1217,2.0,0,0,2003
1950900245,3,1.0,1150,8050,1.5,0,0,1956
5214500690,4,2.5,1970,8545,2.0,0,0,2004
4045900147,3,2.75,2550,54014,2.0,0,0,1967
7278100690,3,1.5,1860,7190,2.0,0,1,1952
6821102100,2,1.0,810,6480,1.0,0,0,1942
7276100165,3,2.5,2050,3218,3.0,0,0,2008
7855600820,4,2.25,2130,8734,2.0,0,2,1961
1463400047,4,2.0,1910,10200,1.0,0,0,1963
5318100504,2,2.0,1450,2272,1.0,0,0,1924
9320600090,3,1.5,1560,8314,1.0,0,0,1962
5083000375,3,1.0,1310,9529,1.0,0,0,1956
2144800215,4,1.75,2080,13629,1.0,0,0,1955
5101405265,4,2.5,2170,5257,2.0,0,0,1989
2205700405,3,1.0,1340,13750,1.0,0,0,1955
1150001270,3,2.5,2270,7866,1.0,0,0,1988
7130300690,2,1.0,1080,6250,1.0,0,2,1942
9358001566,2,2.5,1410,1281,2.0,0,0,2008
6021500245,2,1.0,1260,4000,1.0,0,0,1940
8651401270,3,1.0,840,6500,1.0,0,0,1969
8864000735,4,2.0,2030,8426,2.0,0,0,1944
7885801460,4,2.5,2260,5702,2.0,0,0,2002
