Codigo,Partido,Votos
4001,Blanco,5
4001,Nulos,9
4001,PP,267
4001,PSOE,356
4001,PODEMOS_IU_EQUO,65
4001,Cs,110
4001,PACMA,4
4001,UPyD,4
4001,PCPE,1
4001,EB,2
4002,Blanco,2
4002,Nulos,8
4002,PP,212
4002,PSOE,342
4002,PODEMOS_IU_EQUO,79
4002,Cs,93
4002,PACMA,3
4002,RECORTES_CERO_GRUPO_VERDE,1
4002,UPyD,3
4002,EB,2
4002,FE_de_las_JONS,3
4003,Blanco,64
4003,Nulos,82
4003,PP,5581
4003,PSOE,3007
4003,PODEMOS_IU_EQUO,1071
4003,Cs,1222
4003,PACMA,85
4003,RECORTES_CERO_GRUPO_VERDE,7
4003,UPyD,9
4003,VOX,9
4003,PCPE,3
4003,EB,5
4003,FE_de_las_JONS,10
4003,IZAR,2
4004,PP,105
4004,PSOE,136
4004,PODEMOS_IU_EQUO,44
4004,Cs,42
4004,PACMA,1
4004,UPyD,1
4005,Blanco,3
4005,Nulos,6
4005,PP,181
4005,PSOE,177
4005,PODEMOS_IU_EQUO,23
4005,Cs,37
4005,PACMA,1
4005,RECORTES_CERO_GRUPO_VERDE,3
4005,PCPE,2
4005,FE_de_las_JONS,4
4006,Blanco,30
4006,Nulos,43
4006,PP,2161
4006,PSOE,1497
4006,PODEMOS_IU_EQUO,347
4006,Cs,665
4006,PACMA,19
4006,RECORTES_CERO_GRUPO_VERDE,1
4006,UPyD,7
4006,VOX,2
4006,PCPE,8
4006,EB,6
4006,FE_de_las_JONS,3
4006,IZAR,3
4007,Blanco,1
4007,Nulos,2
4007,PP,163
4007,PSOE,222
4007,PODEMOS_IU_EQUO,63
4007,Cs,68
4007,PACMA,1
4007,PCPE,2
4007,FE_de_las_JONS,2
4008,Blanco,5
4008,Nulos,6
4008,PP,261
4008,PSOE,106
4008,PODEMOS_IU_EQUO,20
4008,Cs,23
4008,PACMA,2
4009,Blanco,2
4009,Nulos,1
4009,PP,62
4009,PSOE,30
4009,PODEMOS_IU_EQUO,15
4009,Cs,13
4010,Blanco,3
4010,Nulos,1
4010,PP,120
4010,PSOE,232
4010,PODEMOS_IU_EQUO,35
4010,Cs,50
4010,PACMA,2
4010,VOX,1
4011,Blanco,21
4011,Nulos,23
4011,PP,690
4011,PSOE,864
4011,PODEMOS_IU_EQUO,328
4011,Cs,163
4011,PACMA,16
4011,RECORTES_CERO_GRUPO_VERDE,3
4011,VOX,2
4011,PCPE,3
4011,EB,5
4011,FE_de_las_JONS,1
4012,PP,70
4012,PSOE,58
4012,PODEMOS_IU_EQUO,9
4012,Cs,16
