Codigo;Mesas;Censo;Votantes;Validos;Blanco;Nulos;PP;PSOE;PODEMOS_IU_EQUO;Cs;ECP;PODEMOS_COMPROMIS_EUPV;ERC_CATS;CDC;PODEMOS_EN_MAREA_ANOVA_EU;EAJ_PNV;EH_Bildu;CCa_PNC;PACMA;RECORTES_CERO_GRUPO_VERDE;UPyD;VOX;BNG_NS;PCPE;GBAI;EB;FE_de_las_JONS;SI;SOMVAL;CCD;SAIn;PH;CENTRO_MODERADO;P_LIB;CCD_CI;UPL;PCOE;AND;JXC;PFyV;CILUS;PxC;MAS;IZAR;UNIDAD_DEL_PUEBLO;PREPAL;Ln;REPO;INDEPENDIENTES_FIA;ENTABAN;IMC;PUEDE;FE;ALCD;FME;HRTS_Ln;UDT
4001;2;1062;823;814;5;9;267;356;65;110;0;0;0;0;0;0;0;0;4;0;4;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4002;2;1039;748;740;2;8;212;342;79;93;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4003;26;17357;11157;11075;64;82;5581;3007;1071;1222;0;0;0;0;0;0;0;0;85;7;9;9;0;3;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
4004;1;425;329;329;0;0;105;136;44;42;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4005;1;556;437;431;3;6;181;177;23;37;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4006;13;7022;4792;4749;30;43;2161;1497;347;665;0;0;0;0;0;0;0;0;19;1;7;2;0;8;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
4007;1;734;524;522;1;2;163;222;63;68;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4008;2;505;423;417;5;6;261;106;20;23;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4009;1;162;123;122;2;1;62;30;15;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4010;1;576;444;443;3;1;120;232;35;50;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
