Codigo;Comunidad;Provincia;Municipio;Poblacion
4001;Andalucía                     ;Almería                       ;Abla                                                                                                ;1342
4002;Andalucía                     ;Almería                       ;Abrucena                                                                                            ;1279
4003;Andalucía                     ;Almería                       ;Adra                                                                                                ;24670
4004;Andalucía                     ;Almería                       ;Albánchez                                                                                           ;805
4005;Andalucía                     ;Almería                       ;Alboloduy                                                                                           ;653
4006;Andalucía                     ;Almería                       ;Albox                                                                                               ;11429
4007;Andalucía                     ;Almería                       ;Alcolea                                                                                             ;812
4008;Andalucía                     ;Almería                       ;Alcóntar                                                                                            ;570
4009;Andalucía                     ;Almería                       ;Alcudia de Monteagud                                                                                ;168
4010;Andalucía                     ;Almería                       ;Alhabia                                                                                             ;700
4011;Andalucía                     ;Almería                       ;Alhama de Almería                                                                                   ;3763
4012;Andalucía                     ;Almería                       ;Alicún                                                                                              ;220
4013;Andalucía                     ;Almería                       ;Almería                                                                                             ;194203
4014;Andalucía                     ;Almería                       ;Almócita                                                                                            ;173
4015;Andalucía                     ;Almería                       ;Alsodux                                                                                             ;138
4016;Andalucía                     ;Almería                       ;Antas                                                                                               ;3195
4017;Andalucía                     ;Almería                       ;Arboleas                                                                                            ;4670
4018;Andalucía                     ;Almería                       ;Armuña de Almanzora                                                                                 ;332
4019;Andalucía                     ;Almería                       ;Bacares                                                                                             ;278
4020;Andalucía                     ;Almería                       ;Bayárcal                                                                                            ;336
4021;Andalucía                     ;Almería                       ;Bayarque                                                                                            ;216
4022;Andalucía                     ;Almería                       ;Bédar                                                                                               ;990
4023;Andalucía                     ;Almería                       ;Beires                                                                                              ;119
4024;Andalucía                     ;Almería                       ;Benahadux                                                                                           ;4183
4026;Andalucía                     ;Almería                       ;Benitagla                                                                                           ;78
4027;Andalucía                     ;Almería                       ;Benizalón                                                                                           ;283
4028;Andalucía                     ;Almería                       ;Bentarique                                                                                          ;258
4029;Andalucía                     ;Almería                       ;Berja                                                                                               ;12370
4030;Andalucía                     ;Almería                       ;Canjáyar                                                                                            ;1342
4031;Andalucía                     ;Almería                       ;Cantoria                                                                                            ;3580
4032;Andalucía                     ;Almería                       ;Carboneras                                                                                          ;7838
4033;Andalucía                     ;Almería                       ;Castro de Filabres                                                                                  ;147
4034;Andalucía                     ;Almería                       ;Cóbdar                                                                                              ;183
4035;Andalucía                     ;Almería                       ;Cuevas del Almanzora                                                                                ;13292
4036;Andalucía                     ;Almería                       ;Chercos                                                                                             ;275
4037;Andalucía                     ;Almería                       ;Chirivel                                                                                            ;1604
4038;Andalucía                     ;Almería                       ;Dalías                                                                                              ;3979
4041;Andalucía                     ;Almería                       ;Enix                                                                                                ;437
4043;Andalucía                     ;Almería                       ;Felix                                                                                               ;688
4044;Andalucía                     ;Almería                       ;Fines                                                                                               ;2143
4045;Andalucía                     ;Almería                       ;Fiñana                                                                                              ;2134
4046;Andalucía                     ;Almería                       ;Fondón                                                                                              ;1020
4047;Andalucía                     ;Almería                       ;Gádor                                                                                               ;3027
4048;Andalucía                     ;Almería                       ;Los Gallardos                                                                                       ;2973
4049;Andalucía                     ;Almería                       ;Garrucha                                                                                            ;8577
4050;Andalucía                     ;Almería                       ;Gérgal                                                                                              ;1093
4051;Andalucía                     ;Almería                       ;Huécija                                                                                             ;515
4052;Andalucía                     ;Almería                       ;Huércal de Almería                                                                                  ;16823
4053;Andalucía                     ;Almería                       ;Huércal-Overa                                                                                       ;18530
4054;Andalucía                     ;Almería                       ;Illar                                                                                               ;380
4055;Andalucía                     ;Almería                       ;Instinción                                                                                          ;458
4056;Andalucía                     ;Almería                       ;Laroya                                                                                              ;178
4057;Andalucía                     ;Almería                       ;Láujar de Andarax                                                                                   ;1574
4058;Andalucía                     ;Almería                       ;Líjar                                                                                               ;431
4059;Andalucía                     ;Almería                       ;Lubrín                                                                                              ;1568
4060;Andalucía                     ;Almería                       ;Lucainena de las Torres                                                                             ;606
4061;Andalucía                     ;Almería                       ;Lúcar                                                                                               ;772
4062;Andalucía                     ;Almería                       ;Macael                                                                                              ;5676
4063;Andalucía                     ;Almería                       ;María                                                                                               ;1285
4064;Andalucía                     ;Almería                       ;Mojácar                                                                                             ;6825
4065;Andalucía                     ;Almería                       ;Nacimiento                                                                                          ;501
4066;Andalucía                     ;Almería                       ;Níjar                                                                                               ;28056
4067;Andalucía                     ;Almería                       ;Ohanes                                                                                              ;669
4068;Andalucía                     ;Almería                       ;Olula de Castro                                                                                     ;190
4069;Andalucía                     ;Almería                       ;Olula del Río                                                                                       ;6259
4070;Andalucía                     ;Almería                       ;Oria                                                                                                ;2428
4071;Andalucía                     ;Almería                       ;Padules                                                                                             ;464
4072;Andalucía                     ;Almería                       ;Partaloa                                                                                            ;673
4073;Andalucía                     ;Almería                       ;Paterna del Río                                                                                     ;376
4074;Andalucía                     ;Almería                       ;Pechina                                                                                             ;3860
4075;Andalucía                     ;Almería                       ;Pulpí                                                                                               ;8762
4076;Andalucía                     ;Almería                       ;Purchena                                                                                            ;1686
4077;Andalucía                     ;Almería                       ;Rágol                                                                                               ;338
4078;Andalucía                     ;Almería                       ;Rioja                                                                                               ;1374
4079;Andalucía                     ;Almería                       ;Roquetas de Mar                                                                                     ;90623
4080;Andalucía                     ;Almería                       ;Santa Cruz de Marchena                                                                              ;254
4081;Andalucía                     ;Almería                       ;Santa Fe de Mondújar                                                                                ;448
4082;Andalucía                     ;Almería                       ;Senés                                                                                               ;330
4083;Andalucía                     ;Almería                       ;Serón                                                                                               ;2167
4084;Andalucía                     ;Almería                       ;Sierro                                                                                              ;392
4085;Andalucía                     ;Almería                       ;Somontín                                                                                            ;492
4086;Andalucía                     ;Almería                       ;Sorbas                                                                                              ;2608
4087;Andalucía                     ;Almería                       ;Suflí                                                                                               ;252
4088;Andalucía                     ;Almería                       ;Tabernas                                                                                            ;3668
4089;Andalucía                     ;Almería                       ;Taberno                                                                                             ;1000
4090;Andalucía                     ;Almería                       ;Tahal                                                                                               ;396
4091;Andalucía                     ;Almería                       ;Terque                                                                                              ;417
4092;Andalucía                     ;Almería                       ;Tíjola                                                                                              ;3701
4093;Andalucía                     ;Almería                       ;Turre                                                                                               ;3346
4094;Andalucía                     ;Almería                       ;Turrillas                                                                                           ;242
4095;Andalucía                     ;Almería                       ;Uleila del Campo                                                                                    ;897
4096;Andalucía                     ;Almería                       ;Urrácal                                                                                             ;336
4097;Andalucía                     ;Almería                       ;Velefique                                                                                           ;268
4098;Andalucía                     ;Almería                       ;Vélez-Blanco                                                                                        ;2035
4099;Andalucía                     ;Almería                       ;Vélez-Rubio                                                                                         ;6767
4100;Andalucía                     ;Almería                       ;Vera                                                                                                ;15108
4101;Andalucía                     ;Almería                       ;Viator                                                                                              ;5698
4102;Andalucía                     ;Almería                       ;Vícar                                                                                               ;24571
4103;Andalucía                     ;Almería                       ;Zurgena                                                                                             ;3030
4901;Andalucía                     ;Almería                       ;Las Tres Villas                                                                                     ;615
4902;Andalucía                     ;Almería                       ;El Ejido                                                                                            ;85961
4903;Andalucía                     ;Almería                       ;La Mojonera                                                                                         ;8963
4904;Andalucía                     ;Almería                       ;Balanegra                                                                                           ;2804
11001;Andalucía                     ;Cádiz                         ;Alcalá de los Gazules                                                                               ;5326
11002;Andalucía                     ;Cádiz                         ;Alcalá del Valle                                                                                    ;5224
11003;Andalucía                     ;Cádiz                         ;Algar                                                                                               ;1448
11004;Andalucía                     ;Cádiz                         ;Algeciras                                                                                           ;118920
11005;Andalucía                     ;Cádiz                         ;Algodonales                                                                                         ;5649
11006;Andalucía                     ;Cádiz                         ;Arcos de la Frontera                                                                                ;31193
11007;Andalucía                     ;Cádiz                         ;Barbate                                                                                             ;22808
11008;Andalucía                     ;Cádiz                         ;Los Barrios                                                                                         ;23167
11009;Andalucía                     ;Cádiz                         ;Benaocaz                                                                                            ;720
11010;Andalucía                     ;Cádiz                         ;Bornos                                                                                              ;7934
11011;Andalucía                     ;Cádiz                         ;El Bosque                                                                                           ;2067
11012;Andalucía                     ;Cádiz                         ;Cádiz                                                                                               ;120468
11013;Andalucía                     ;Cádiz                         ;Castellar de la Frontera                                                                            ;3045
11014;Andalucía                     ;Cádiz                         ;Conil de la Frontera                                                                                ;22136
11015;Andalucía                     ;Cádiz                         ;Chiclana de la Frontera                                                                             ;82777
11016;Andalucía                     ;Cádiz                         ;Chipiona                                                                                            ;19062
11017;Andalucía                     ;Cádiz                         ;Espera                                                                                              ;3915
11018;Andalucía                     ;Cádiz                         ;El Gastor                                                                                           ;1809
11019;Andalucía                     ;Cádiz                         ;Grazalema                                                                                           ;2165
11020;Andalucía                     ;Cádiz                         ;Jerez de la Frontera                                                                                ;212876
11021;Andalucía                     ;Cádiz                         ;Jimena de la Frontera                                                                               ;9772
11022;Andalucía                     ;Cádiz                         ;La Línea de la Concepción                                                                           ;63352
11023;Andalucía                     ;Cádiz                         ;Medina-Sidonia                                                                                      ;11749
11024;Andalucía                     ;Cádiz                         ;Olvera                                                                                              ;8289
11025;Andalucía                     ;Cádiz                         ;Paterna de Rivera                                                                                   ;5585
11026;Andalucía                     ;Cádiz                         ;Prado del Rey                                                                                       ;5819
11027;Andalucía                     ;Cádiz                         ;El Puerto de Santa María                                                                            ;88335
11028;Andalucía                     ;Cádiz                         ;Puerto Real                                                                                         ;41509
11029;Andalucía                     ;Cádiz                         ;Puerto Serrano                                                                                      ;7145
11030;Andalucía                     ;Cádiz                         ;Rota                                                                                                ;29123
11031;Andalucía                     ;Cádiz                         ;San Fernando                                                                                        ;96131
11032;Andalucía                     ;Cádiz                         ;Sanlúcar de Barrameda                                                                               ;67433
11033;Andalucía                     ;Cádiz                         ;San Roque                                                                                           ;29373
11034;Andalucía                     ;Cádiz                         ;Setenil de las Bodegas                                                                              ;2845
11035;Andalucía                     ;Cádiz                         ;Tarifa                                                                                              ;18011
11036;Andalucía                     ;Cádiz                         ;Torre Alháquime                                                                                     ;779
11037;Andalucía                     ;Cádiz                         ;Trebujena                                                                                           ;7072
11038;Andalucía                     ;Cádiz                         ;Ubrique                                                                                             ;16836
11039;Andalucía                     ;Cádiz                         ;Vejer de la Frontera                                                                                ;12812
11040;Andalucía                     ;Cádiz                         ;Villaluenga del Rosario                                                                             ;471
11041;Andalucía                     ;Cádiz                         ;Villamartín                                                                                         ;12271
11042;Andalucía                     ;Cádiz                         ;Zahara                                                                                              ;1436
11901;Andalucía                     ;Cádiz                         ;Benalup-Casas Viejas                                                                                ;7000
11902;Andalucía                     ;Cádiz                         ;San José del Valle                                                                                  ;4427
14001;Andalucía                     ;Córdoba                       ;Adamuz                                                                                              ;4317
14002;Andalucía                     ;Córdoba                       ;Aguilar de la Frontera                                                                              ;13551
14003;Andalucía                     ;Córdoba                       ;Alcaracejos                                                                                         ;1523
14004;Andalucía                     ;Córdoba                       ;Almedinilla                                                                                         ;2455
14005;Andalucía                     ;Córdoba                       ;Almodóvar del Río                                                                                   ;7961
14006;Andalucía                     ;Córdoba                       ;Añora                                                                                               ;1563
14007;Andalucía                     ;Córdoba                       ;Baena                                                                                               ;19802
14008;Andalucía                     ;Córdoba                       ;Belalcázar                                                                                          ;3437
14009;Andalucía                     ;Córdoba                       ;Belmez                                                                                              ;3119
14010;Andalucía                     ;Córdoba                       ;Benamejí                                                                                            ;5060
14011;Andalucía                     ;Córdoba                       ;Los Blázquez                                                                                        ;703
14012;Andalucía                     ;Córdoba                       ;Bujalance                                                                                           ;7693
14013;Andalucía                     ;Córdoba                       ;Cabra                                                                                               ;20837
14014;Andalucía                     ;Córdoba                       ;Cañete de las Torres                                                                                ;3010
14015;Andalucía                     ;Córdoba                       ;Carcabuey                                                                                           ;2595
14016;Andalucía                     ;Córdoba                       ;Cardeña                                                                                             ;1604
14017;Andalucía                     ;Córdoba                       ;La Carlota                                                                                          ;13929
14018;Andalucía                     ;Córdoba                       ;El Carpio                                                                                           ;4496
14019;Andalucía                     ;Córdoba                       ;Castro del Río                                                                                      ;7972
14020;Andalucía                     ;Córdoba                       ;Conquista                                                                                           ;438
14021;Andalucía                     ;Córdoba                       ;Córdoba                                                                                             ;327362
14022;Andalucía                     ;Córdoba                       ;Doña Mencía                                                                                         ;4882
14023;Andalucía                     ;Córdoba                       ;Dos Torres                                                                                          ;2457
14024;Andalucía                     ;Córdoba                       ;Encinas Reales                                                                                      ;2343
14025;Andalucía                     ;Córdoba                       ;Espejo                                                                                              ;3443
14026;Andalucía                     ;Córdoba                       ;Espiel                                                                                              ;2508
14027;Andalucía                     ;Córdoba                       ;Fernán-Núñez                                                                                        ;9713
14028;Andalucía                     ;Córdoba                       ;Fuente la Lancha                                                                                    ;377
14029;Andalucía                     ;Córdoba                       ;Fuente Obejuna                                                                                      ;4894
14030;Andalucía                     ;Córdoba                       ;Fuente Palmera                                                                                      ;10895
14031;Andalucía                     ;Córdoba                       ;Fuente-Tójar                                                                                        ;721
14032;Andalucía                     ;Córdoba                       ;La Granjuela                                                                                        ;482
14033;Andalucía                     ;Córdoba                       ;Guadalcázar                                                                                         ;1566
14034;Andalucía                     ;Córdoba                       ;El Guijo                                                                                            ;372
14035;Andalucía                     ;Córdoba                       ;Hinojosa del Duque                                                                                  ;7054
14036;Andalucía                     ;Córdoba                       ;Hornachuelos                                                                                        ;4642
14037;Andalucía                     ;Córdoba                       ;Iznájar                                                                                             ;4556
14038;Andalucía                     ;Córdoba                       ;Lucena                                                                                              ;42697
14039;Andalucía                     ;Córdoba                       ;Luque                                                                                               ;3127
14040;Andalucía                     ;Córdoba                       ;Montalbán de Córdoba                                                                                ;4519
14041;Andalucía                     ;Córdoba                       ;Montemayor                                                                                          ;3950
14042;Andalucía                     ;Córdoba                       ;Montilla                                                                                            ;23519
14043;Andalucía                     ;Córdoba                       ;Montoro                                                                                             ;9640
14044;Andalucía                     ;Córdoba                       ;Monturque                                                                                           ;2007
